state,year,dem_exp,rep_exp,votes_dem_perc,votes_gop_perc,white_pop,black_pop,other_pop
HI,2016,1.86667423,0.24506327000000006,62.22149173421739,30.03867700851174,3.71631,0.30736,10.25104
HI,2020,0.0,0.0,63.73363923901899,34.26886394217965,3.61293,0.30958,10.23535
IA,2012,6.062630949999997,13.04123033000001,51.988016534149075,46.1778685105361,28.49444,0.97459,1.29287
IA,2016,30.81760139999948,91.69114410000013,41.740489172947406,51.14732722404601,28.60458,1.16268,1.54645
IA,2020,1.4542532399999994,7.701235520000001,44.891715571442184,53.08932496920226,28.5908,1.28105,1.67885
ID,2012,0.09001576000000001,0.36117526,32.62233355920978,64.52978349589283,14.97593,0.11835,0.85896
ID,2016,0.0,1.31575849,27.484926126068714,59.24615422495738,15.69732,0.1448,0.98168
ID,2020,0.0,0.5640162999999999,33.062935935169136,63.83075780003571,16.62365,0.16346,1.08354
IL,2012,29.66110784,39.511074859999994,57.60348698589879,40.73152226934897,100.26424,19.01172,9.54914
IL,2016,20.532256729999908,26.472616309999896,55.601581446908426,38.606370150468436,98.97625,18.79042,10.4386
IL,2020,8.202006420000005,14.993502589999993,57.492982935492684,40.519155137153604,97.26915,18.52516,10.9239
IN,2012,16.39552292000001,20.44328807,43.927302904058386,54.125532380224456,56.54491,6.16675,2.66537
IN,2016,0.0,33.472237709999966,37.774839686752046,56.94003344841127,56.7832,6.42941,3.13043
IN,2020,33.932316609999994,30.000949550000005,40.96320121535093,57.03063235568532,57.09592,6.69596,3.53031
KS,2012,0.01916724,0.96412596,38.04596567882144,59.65895036903656,25.17824,1.77628,1.89805
KS,2016,0.10226779,14.118289339999993,36.05234029295772,56.65453397196732,25.20984,1.79604,2.10256
KS,2020,4.972743020000004,9.335108499999997,41.3961663259401,56.17357270887626,25.13846,1.78725,2.20743
KY,2012,7.110813880000001,4.8701539500000015,37.80132783444579,60.49314159932161,38.88889,3.53253,1.44204
KY,2016,20.65239456999899,12.942876759999109,32.68218833364776,62.519638551900094,39.03401,3.67506,1.67275
KY,2020,1.78836644,2.9828636800000004,36.151514811154044,62.08657186929046,39.09923,3.78479,1.79271
LA,2012,0.27494941,2.9749061400000003,40.57746362330215,57.78457572847425,29.2957,14.91445,1.79957
LA,2016,12.68049409,19.317997889999994,38.44956609851397,58.08868465356879,29.55059,15.2463,1.98446
LA,2020,0.0,0.00403428,39.85145680152621,58.460882414008545,29.18843,15.24733,2.05218
MA,2012,7.721343680000161,7.75489106000015,60.651241079283935,37.51267059730088,55.59165,5.35191,5.68649
MA,2016,3.740098630000001,7.208501289999999,60.93029434533854,33.314236590926086,55.76223,5.89701,6.57684
MA,2020,0.84314453,0.0701528,65.60006300596851,32.14191103050557,55.54165,6.21902,7.16436
MD,2012,1.19471197,3.3368860999999987,61.9741907793185,35.89773233894539,35.74008,17.74916,5.38068
MD,2016,0.0,0.0,60.32574423519277,33.909304728547674,35.65668,18.41676,5.95979
MD,2020,0.10773731,0.94880796,65.36066486007711,32.15029156774875,35.39444,18.78645,6.27591
ME,2012,0.7068867099999999,0.0,56.22030456566863,41.03750602005841,12.65573,0.17714,0.44442
ME,2016,5.57795216,8.18933026,47.680931686787,45.02305962435193,12.61844,0.20637,0.48836
ME,2020,2.96657465,8.609404640000001,52.900557917762434,44.22776316759653,12.69326,0.22691,0.52195
MI,2012,11.308920450000095,16.96514435999996,54.20820421051875,44.710916027420225,79.28676,14.14844,5.53625
MI,2016,14.153529429998562,26.36064934999998,47.27453095086684,47.49756421999615,79.17934,14.08599,6.24038
MI,2020,17.963943150000013,15.173649069999987,50.62081829082437,47.83729069113762,79.11567,14.0789,6.674
MN,2012,0.0,6.900551559999998,52.65230315324626,44.958201106668646,46.46105,3.0071,4.29828
MN,2016,0.0,27.941432110000008,46.44491857377701,44.92478809350543,46.85535,3.53124,4.84085
MN,2020,10.968180260000002,16.100276899999987,52.39509930974002,45.284942409169375,47.23931,3.95556,5.20145
MO,2012,5.901420640000009,16.295036950000267,44.38366060859271,53.76395562054639,50.49542,7.07299,2.67526
MO,2016,0.0,17.361971889999694,38.151857549794634,56.79710021546773,50.67791,7.20019,2.99325
MO,2020,45.11166689,31.518001290000008,41.40878173618836,56.799655778889495,50.86188,7.25579,3.25661
MS,2012,1.51649461,3.5536462700000007,43.789359543989356,55.28584674358113,17.90197,11.14071,0.79548
MS,2016,0.0,10.10171745,40.1147882717841,57.94103808883564,17.73354,11.26424,0.8816
