state,year,dem_exp,rep_exp,votes_dem_perc,votes_gop_perc
GA,2020,17.57342426000008,10.405797600000012,49.49526943907977,49.25958177695571
HI,2012,2.61872475,2.33209631,70.53228655454251,27.851485764161566
HI,2016,1.8666742299999999,0.24506327000000003,62.22149173421738,30.03867700851174
HI,2020,0.0,0.0,63.73363923901899,34.26886394217965
IA,2012,6.062630949999998,13.04123033000001,51.98801653414908,46.17786851053609
IA,2016,30.817601399999482,91.69114410000013,41.740489172947406,51.14732722404601
IA,2020,1.4542532399999994,7.701235520000001,44.89171557144218,53.089324969202266
ID,2012,0.09001576000000001,0.36117526,32.62233355920978,64.52978349589283
ID,2016,0.0,1.31575849,27.484926126068714,59.24615422495738
ID,2020,0.0,0.5640162999999999,33.062935935169136,63.83075780003571
IL,2012,29.66110784,39.51107485999999,57.60348698589879,40.73152226934898
IL,2016,20.532256729999908,26.472616309999896,55.601581446908426,38.60637015046844
IL,2020,8.202006420000005,14.993502589999991,57.492982935492684,40.5191551371536
IN,2012,16.39552292000001,20.44328807,43.92730290405839,54.12553238022445
IN,2016,0.0,33.47223770999997,37.774839686752046,56.94003344841127
IN,2020,33.93231660999999,30.000949550000005,40.96320121535093,57.03063235568532
KS,2012,0.019167240000000002,0.96412596,38.04596567882144,59.65895036903656
KS,2016,0.10226779,14.118289339999992,36.052340292957716,56.65453397196731
KS,2020,4.972743020000004,9.335108499999997,41.3961663259401,56.17357270887626
KY,2012,7.110813880000001,4.870153950000001,37.8013278344458,60.49314159932162
KY,2016,20.65239456999899,12.942876759999109,32.68218833364776,62.51963855190009
KY,2020,1.78836644,2.9828636800000004,36.151514811154044,62.086571869290445
LA,2012,0.27494941,2.9749061400000003,40.57746362330215,57.784575728474245
LA,2016,12.68049409,19.317997889999994,38.44956609851397,58.0886846535688
LA,2020,0.0,0.00403428,39.85145680152621,58.46088241400854
MA,2012,7.721343680000161,7.75489106000015,60.65124107928393,37.512670597300875
MA,2016,3.740098630000001,7.208501289999999,60.930294345338524,33.31423659092609
MA,2020,0.84314453,0.0701528,65.6000630059685,32.141911030505575
MD,2012,1.19471197,3.3368860999999987,61.97419077931849,35.89773233894539
MD,2016,0.0,0.0,60.32574423519277,33.90930472854767
MD,2020,0.10773731,0.94880796,65.36066486007711,32.15029156774875
ME,2012,0.7068867099999999,0.0,56.22030456566863,41.03750602005841
ME,2016,5.57795216,8.18933026,47.68093168678699,45.02305962435193
