FIPS,state,year,votes_dem,votes_gop,total_votes,pop,white_pop,black_pop,asian_pop,indian_pop,pacific_pop,two_pop,not_hisp_pop,hisp_pop
1065.0,Alabama,2016,4775.0,3173.0,8040,14828.0,6021.0,8626.0,42.0,31.0,2.0,106.0,14622.0,206.0
1067.0,Alabama,2012,3083.0,5628.0,8760,17153.0,11980.0,4834.0,84.0,57.0,3.0,195.0,16749.0,404.0
1067.0,Alabama,2016,2292.0,5632.0,8072,17072.0,12108.0,4581.0,85.0,69.0,4.0,225.0,16639.0,433.0
1069.0,Alabama,2012,12367.0,29270.0,41918,103371.0,72879.0,27212.0,912.0,514.0,73.0,1781.0,100185.0,3186.0
1069.0,Alabama,2016,10664.0,30728.0,42639,104218.0,72578.0,28012.0,1006.0,530.0,79.0,2013.0,100839.0,3379.0
1071.0,Alabama,2012,5822.0,14439.0,20577,53079.0,48791.0,1782.0,258.0,828.0,58.0,1362.0,51704.0,1375.0
1071.0,Alabama,2016,3673.0,16672.0,20984,51988.0,47694.0,1771.0,283.0,832.0,52.0,1356.0,50504.0,1484.0
1073.0,Alabama,2012,159876.0,141683.0,303918,658061.0,357740.0,280829.0,10045.0,2177.0,347.0,6923.0,633422.0,24639.0
1073.0,Alabama,2016,156873.0,134768.0,304191,660343.0,353350.0,285787.0,10992.0,1934.0,338.0,7942.0,635421.0,24922.0
1075.0,Alabama,2012,1646.0,5457.0,7166,14248.0,12431.0,1582.0,12.0,33.0,2.0,188.0,14043.0,205.0
1075.0,Alabama,2016,1036.0,5823.0,6966,13928.0,12178.0,1471.0,11.0,42.0,2.0,224.0,13714.0,214.0
1077.0,Alabama,2012,12511.0,23911.0,36924,92662.0,80733.0,9420.0,771.0,398.0,48.0,1292.0,90585.0,2077.0
1077.0,Alabama,2016,9952.0,27899.0,39525,92425.0,80434.0,9331.0,732.0,397.0,59.0,1472.0,90065.0,2360.0
1079.0,Alabama,2012,5069.0,8874.0,14112,33806.0,26459.0,3878.0,58.0,1961.0,6.0,1444.0,33134.0,672.0
1079.0,Alabama,2016,3627.0,10833.0,14829,33227.0,26070.0,3624.0,74.0,1940.0,7.0,1512.0,32530.0,697.0
1081.0,Alabama,2012,21381.0,32194.0,54359,148567.0,106628.0,34319.0,4716.0,545.0,163.0,2196.0,143237.0,5330.0
1081.0,Alabama,2016,21230.0,34617.0,59191,159168.0,112434.0,37137.0,6262.0,562.0,137.0,2636.0,153359.0,5809.0
1083.0,Alabama,2012,9829.0,25295.0,35459,87326.0,72167.0,11435.0,1161.0,735.0,156.0,1672.0,82518.0,4808.0
1083.0,Alabama,2016,9468.0,29067.0,40294,92847.0,75969.0,12583.0,1390.0,730.0,159.0,2016.0,87431.0,5416.0
1085.0,Alabama,2012,5747.0,1756.0,7521,10851.0,2692.0,8032.0,31.0,28.0,1.0,67.0,10720.0,131.0
1085.0,Alabama,2016,4883.0,1751.0,6684,10248.0,2553.0,7547.0,38.0,30.0,4.0,76.0,10081.0,167.0
1087.0,Alabama,2012,9045.0,1331.0,10394,20608.0,3375.0,16849.0,73.0,35.0,3.0,273.0,20284.0,324.0
1087.0,Alabama,2016,7566.0,1431.0,9140,19060.0,3111.0,15514.0,103.0,50.0,3.0,279.0,18732.0,328.0
1089.0,Alabama,2012,62015.0,90884.0,155059,342730.0,239104.0,83650.0,8699.0,2846.0,419.0,8012.0,326991.0,15739.0
1089.0,Alabama,2016,62822.0,89520.0,163389,356729.0,246675.0,88265.0,9481.0,2871.0,417.0,9020.0,339505.0,17224.0
1091.0,Alabama,2012,6167.0,5336.0,11537,20375.0,9648.0,10447.0,51.0,43.0,35.0,151.0,19937.0,438.0
1091.0,Alabama,2016,5615.0,5233.0,10994,19525.0,9100.0,10092.0,62.0,48.0,34.0,189.0,19067.0,458.0
1093.0,Alabama,2012,2249.0,9697.0,12105,30484.0,28752.0,1177.0,80.0,121.0,20.0,334.0,29791.0,693.0
